Source,Target
24217,18641
24218,4662
24223,5121
24232,16988
24235,4983
24235,9460
24251,23816
24251,16825
24258,38009
24269,24171
24269,490429
24282,23272
24287,13783
24326,4983
24327,128413
24332,170235
24371,22102
24387,14008
24388,635
24413,18641
24425,19796
24439,18641
24454,16904
24458,814
24479,88384
24499,23009
24512,24208
24518,5121
24523,4983
24537,6383
24549,5121
24550,23085
24551,22993
24557,17432
24561,135909
24563,16918
24586,87409
24604,351309
24609,196037
24656,10178
24681,24697
24687,22946
24694,22636
24722,24208
24722,6162
24770,3045
24770,867
24774,131
24795,56104
24805,41
24809,3497
24826,10290
24828,24883
24842,1763
24871,18654
24881,5121
24883,24828
24901,5121
24916,427187
24916,15050
24916,17294
24916,133113
24957,6147
24972,21868
24973,15294
24984,14328
24994,18023
24996,5558
25022,248
25031,24437
25033,7373
25039,22743
25053,24812
25071,106351
25075,20112
25077,14866
25102,16077
25131,12647
25142,155809
25142,24964
25146,21305
25196,2573
25197,897
25208,2235
25212,4109
25220,5314
25231,21568
25244,15169
25252,25480
25268,17249
25285,16015
25302,38617
25307,30072
25309,25260
25311,3883
25321,25519
25321,45241
25337,88384
25359,21325
25380,22361
25407,39477
25408,25436
25409,28086
25436,25311
25446,34
25446,20106
25462,65036
25462,65632
25462,76310
25485,18739
25488,182012
25514,5198
25519,6558
25519,25321
25519,45241
25519,206558
25528,6521
25528,4983
25540,2235
25540,25208
25540,12139
25543,23446
25571,25565
25596,19268
25596,209950
25596,41478
25596,66718
25605,1528
25607,131
25633,17823
25633,584002
25635,23932
25660,5121
25670,25212
25670,4109
25671,136850
25678,131
25687,25609
25687,370
25692,8570
25693,26047
25723,18222
25724,76
25732,4983
25746,4662
25754,24187
25761,20568
25767,4950
25767,9922
25789,39040
25811,5121
25822,6200
25843,25727
25862,12038
25864,6253
25887,25811
25904,25905
25905,25904
25917,9048
25930,140246
25947,5121
25954,106683
25955,10223
25955,14228
25956,5121
25956,21686
25961,974
25963,25956
25979,30334
25979,10597
25979,39069
25983,16508
25996,16988
26005,21131
26005,67909
26042,55656
26047,28644
26050,7798
26060,18928
26068,77522
26072,5996
26080,21686
26094,24770
26102,21686
26102,4983
26102,17249
26104,6068
26150,28086
26160,12917
26163,4983
26173,20119
26173,26102
26179,22993
26180,22993
26180,26179
26185,10232
26199,24171
26204,5121
26217,118737
26220,14008
26237,441748
26245,21183
26245,10008
26276,20989
26290,252166
26290,18482
26290,280542
26290,165356
26314,25227
26346,25409
26353,27141
26362,18023
26362,76919
26405,7576
26412,55868
26425,5121
26461,5121
26461,6382
26462,26431
26471,30961
26485,5567
26492,13758
26501,35478
26524,25409
26529,5090
26529,4497
26535,3944
26550,23714
26553,25623
26555,2075
26567,545008
26584,23666
26601,25022
26601,25753
26601,21749
26601,11438
26601,12979
26632,56104
26673,25514
26682,26601
26682,100900
26682,19457
26682,19954
26698,52767
26706,112668
26717,13238
26718,15425
26720,139352
26730,3697
26736,22667
26736,9206
26749,26632
26796,22492
26812,2596
26817,17764
26825,26720
26848,46331
26880,20280
26884,22866
26912,994
26920,5082
26920,9576
26925,14008
26925,24171
26927,7578
26931,22265
26932,5881
26932,5121
26957,7648
26969,16275
26979,10228
26980,6490
26980,247
26992,150595
26999,25089
27024,5121
27038,20119
27050,26848
27061,22118
27063,3379
27063,24609
27063,6476
27063,23770
27063,23578
27063,18654
27075,572296
27088,4819
27101,13179
27101,167
27141,4983
27141,26912
27146,64485
27157,15672
27182,5121
27187,22946
27189,11490
27213,138547
27224,1237
27227,631
27244,5121
27254,13065
27304,2596
27308,27141
27314,99703
27320,7930
27321,27317
27330,13958
27354,23796
27377,107230
27377,238006
27377,20355
27378,247
27402,7644
27410,66969
27447,58814
27453,18641
27455,18641
27459,3216
27490,8733
27490,22840
27505,5121
27516,18641
27520,18058
27531,17123
27534,28017
27537,27534
27541,93302
27563,5567
27592,11171
27606,21950
27610,48321
27641,25585
27653,9886
27670,3690
27680,5121
27689,3105
27715,71510
27716,4983
27732,4653
27767,8580
27770,19613
27775,13751
27784,5763
27804,225017
27819,19376
27823,73203
27824,48321
27824,814
27864,4983
27877,5121
27896,20864
27898,27213
27898,8645
27901,23502
27901,15518
27907,3672
27988,635
27990,75748
27999,51878
28017,27534
28033,23238
28039,28496
28039,28176
28043,25833
28050,58172
28050,21686
28062,42596
28068,15492
28082,2631
28086,10228
28086,19558
28086,98132
28096,6033
28121,6339
28121,307
28123,21784
28124,9809
28130,5121
28136,175401
28146,12065
28152,16733
28152,10779
28162,6558
28195,4983
28195,26047
28198,867
28198,10683
28228,500
28254,18641
28258,20127
28262,4983
28270,217676
28275,16789
28284,5691
28299,7034
28318,6755
28318,27896
28328,12760
28334,6092
28335,27607
28340,34127
28369,28349
28370,14008
28370,14478
28372,992
